Date,Close
03-02-2018,8277.01
04-02-2018,6955.27
05-02-2018,7754.01
06-02-2018,7621.3
07-02-2018,8265.59
08-02-2018,8736.98
09-02-2018,8621.9
10-02-2018,8129.97
11-02-2018,8926.57
12-02-2018,8598.31
13-02-2018,9494.63
14-02-2018,10166.4
15-02-2018,10233.9
16-02-2018,11112.7
17-02-2018,10551.8
18-02-2018,11225.3
19-02-2018,11403.7
20-02-2018,10690.4
21-02-2018,10005.01
22-02-2018,10301.1
23-02-2018,9813.07
24-02-2018,9664.73
25-02-2018,10366.7
26-02-2018,10725.6
27-02-2018,10397.9
