Date,Close
01-08-2017,2710.67
02-08-2017,2804.73
03-08-2017,2895.89
04-08-2017,3252.91
05-08-2017,3213.94
06-08-2017,3378.94
07-08-2017,3419.94
08-08-2017,3342.47
09-08-2017,3381.28
10-08-2017,3650.62
11-08-2017,3884.71
12-08-2017,4073.26
13-08-2017,4325.13
14-08-2017,4181.93
15-08-2017,4376.63
16-08-2017,4331.69
17-08-2017,4160.62
18-08-2017,4193.7
19-08-2017,4087.66
20-08-2017,4001.74
21-08-2017,4100.52
22-08-2017,4151.52
23-08-2017,4334.68
24-08-2017,4371.6
25-08-2017,4352.4
26-08-2017,4382.88
27-08-2017,4382.66
28-08-2017,4579.02
29-08-2017,4565.3
30-08-2017,4703.39
31-08-2017,4892.01
01-09-2017,4578.77
02-09-2017,4582.96
03-09-2017,4236.31
04-09-2017,4376.53
05-09-2017,4597.12
06-09-2017,4599.88
07-09-2017,4228.75
08-09-2017,4226.06
09-09-2017,4122.94
10-09-2017,4161.27
11-09-2017,4130.81
12-09-2017,3882.59
13-09-2017,3154.95
14-09-2017,3637.52
15-09-2017,3625.04
16-09-2017,3582.88
17-09-2017,4065.2
18-09-2017,3924.97
19-09-2017,3905.95
20-09-2017,3631.04
21-09-2017,3630.7
22-09-2017,3792.4
23-09-2017,3682.84
24-09-2017,3926.07
25-09-2017,3892.35
26-09-2017,4200.67
27-09-2017,4174.73
28-09-2017,4163.07
29-09-2017,4338.71
30-09-2017,4403.74
01-10-2017,4409.32
02-10-2017,4317.48
03-10-2017,4229.36
04-10-2017,4328.41
05-10-2017,4370.81
06-10-2017,4426.89
07-10-2017,4610.48
08-10-2017,4772.02
09-10-2017,4781.99
10-10-2017,4826.48
11-10-2017,5446.91
12-10-2017,5647.21
13-10-2017,5831.79
14-10-2017,5678.19
15-10-2017,5725.59
16-10-2017,5605.51
17-10-2017,5590.69
18-10-2017,5708.52
19-10-2017,6011.45
20-10-2017,6031.6
21-10-2017,6008.42
22-10-2017,5930.32
23-10-2017,5526.64
24-10-2017,5750.8
25-10-2017,5904.83
26-10-2017,5780.9
27-10-2017,5753.09
28-10-2017,6153.85
29-10-2017,6130.53
30-10-2017,6468.4
31-10-2017,6767.31
01-11-2017,7078.5
02-11-2017,7207.76
03-11-2017,7379.95
04-11-2017,7407.41
05-11-2017,7022.76
06-11-2017,7144.38
07-11-2017,7459.69
08-11-2017,7143.58
09-11-2017,6618.14
10-11-2017,6357.6
11-11-2017,5950.07
12-11-2017,6559.49
13-11-2017,6635.75
14-11-2017,7315.54
15-11-2017,7871.69
16-11-2017,7708.99
17-11-2017,7790.15
18-11-2017,8036.49
19-11-2017,8200.64
20-11-2017,8071.26
21-11-2017,8253.55
22-11-2017,8038.77
23-11-2017,8253.69
24-11-2017,8790.92
25-11-2017,9330.55
26-11-2017,9818.35
27-11-2017,10058.8
28-11-2017,9888.61
29-11-2017,10233.6
30-11-2017,10975.6
01-12-2017,11074.6
02-12-2017,11323.2
03-12-2017,11657.2
04-12-2017,11916.7
05-12-2017,14291.5
06-12-2017,17899.7
07-12-2017,16569.4
08-12-2017,15178.2
09-12-2017,15455.4
10-12-2017,16936.8
11-12-2017,17415.4
12-12-2017,16408.2
13-12-2017,16564
14-12-2017,17706.9
15-12-2017,19497.4
16-12-2017,19140.8
17-12-2017,19114.2
18-12-2017,17776.7
19-12-2017,16624.6
20-12-2017,15802.9
21-12-2017,13831.8
22-12-2017,14699.2
23-12-2017,13925.8
24-12-2017,14026.6
25-12-2017,16099.8
26-12-2017,15838.5
27-12-2017,14606.5
28-12-2017,14656.2
29-12-2017,12952.2
30-12-2017,14156.4
31-12-2017,13657.2
01-01-2018,14982.1
02-01-2018,15201
03-01-2018,15599.2
04-01-2018,17429.5
05-01-2018,17527
06-01-2018,16477.6
07-01-2018,15170.1
08-01-2018,14595.4
09-01-2018,14973.3
10-01-2018,13405.8
11-01-2018,13980.6
12-01-2018,14360.2
13-01-2018,13772
14-01-2018,13819.8
15-01-2018,11490.5
16-01-2018,11188.6
17-01-2018,11474.9
18-01-2018,11607.4
19-01-2018,12899.2
20-01-2018,11600.1
21-01-2018,10931.4
22-01-2018,10868.4
23-01-2018,11359.4
24-01-2018,11259.4
25-01-2018,11171.4
26-01-2018,11440.7
27-01-2018,11786.3
28-01-2018,11296.4
29-01-2018,10106.3
30-01-2018,10221.1
31-01-2018,9170.54
01-02-2018,8830.75
02-02-2018,9174.91
03-02-2018,8277.01
04-02-2018,6955.27
05-02-2018,7754
06-02-2018,7621.3
07-02-2018,8265.59
08-02-2018,8736.98
09-02-2018,8621.9
10-02-2018,8129.97
11-02-2018,8926.57
12-02-2018,8598.31
13-02-2018,9494.63
14-02-2018,10166.4
15-02-2018,10233.9
16-02-2018,11112.7
17-02-2018,10551.8
18-02-2018,11225.3
19-02-2018,11403.7
20-02-2018,10690.4
21-02-2018,10005
22-02-2018,10301.1
23-02-2018,9813.07
24-02-2018,9664.73
25-02-2018,10366.7
26-02-2018,10725.6
27-02-2018,10397.9
28-02-2018,10951
01-03-2018,11086.4
02-03-2018,11489.7
03-03-2018,11512.6
